제품ID,공정종류,장비ID,공정시작시간,공정종료시간,품질결과
Prod-00001,A,AST-101,2025-01-01 08:00:00.000000,2025-01-01 09:31:26.861008,G
Prod-00018,A,AST-118,2025-01-01 08:00:00.000000,2025-01-01 10:40:39.092019,G
Prod-00017,A,AST-117,2025-01-01 08:00:00.000000,2025-01-01 09:23:06.291185,G
Prod-00016,A,AST-116,2025-01-01 08:00:00.000000,2025-01-01 10:01:03.963048,G
Prod-00015,A,AST-115,2025-01-01 08:00:00.000000,2025-01-01 10:24:20.444101,G
Prod-00014,A,AST-114,2025-01-01 08:00:00.000000,2025-01-01 10:03:24.930279,G
Prod-00012,A,AST-112,2025-01-01 08:00:00.000000,2025-01-01 10:06:36.017979,G
Prod-00011,A,AST-111,2025-01-01 08:00:00.000000,2025-01-01 09:34:32.662650,G
Prod-00010,A,AST-110,2025-01-01 08:00:00.000000,2025-01-01 09:03:26.908923,G
Prod-00009,A,AST-109,2025-01-01 08:00:00.000000,2025-01-01 09:40:09.790206,G
Prod-00008,A,AST-108,2025-01-01 08:00:00.000000,2025-01-01 09:58:45.363771,G
Prod-00007,A,AST-107,2025-01-01 08:00:00.000000,2025-01-01 09:34:12.623281,G
Prod-00006,A,AST-106,2025-01-01 08:00:00.000000,2025-01-01 10:00:09.582220,G
Prod-00013,A,AST-113,2025-01-01 08:00:00.000000,2025-01-01 10:40:10.927056,B
Prod-00002,A,AST-102,2025-01-01 08:00:00.000000,2025-01-01 09:09:56.800500,G
Prod-00005,A,AST-105,2025-01-01 08:00:00.000000,2025-01-01 10:23:59.627278,G
Prod-00004,A,AST-104,2025-01-01 08:00:00.000000,2025-01-01 09:02:46.679977,B
Prod-00003,A,AST-103,2025-01-01 08:00:00.000000,2025-01-01 10:16:52.257108,G
Prod-00019,A,AST-104,2025-01-01 09:02:46.679977,2025-01-01 11:33:35.356899,G
Prod-00020,A,AST-110,2025-01-01 09:03:26.908923,2025-01-01 11:57:21.519483,G
Prod-00021,A,AST-102,2025-01-01 09:09:56.800500,2025-01-01 11:21:52.331040,G
Prod-00022,A,AST-117,2025-01-01 09:23:06.291185,2025-01-01 12:00:31.152893,G
Prod-00023,A,AST-101,2025-01-01 09:31:26.861008,2025-01-01 10:53:21.355430,G
Prod-00024,A,AST-107,2025-01-01 09:34:12.623281,2025-01-01 11:56:29.432012,B
Prod-00025,A,AST-111,2025-01-01 09:34:32.662650,2025-01-01 11:29:22.897525,G
Prod-00026,A,AST-109,2025-01-01 09:40:09.790206,2025-01-01 11:28:22.975487,G
Prod-00027,A,AST-108,2025-01-01 09:58:45.363771,2025-01-01 12:34:58.096151,G
Prod-00028,A,AST-106,2025-01-01 10:00:09.582220,2025-01-01 12:03:24.733687,G
Prod-00029,A,AST-116,2025-01-01 10:01:03.963048,2025-01-01 11:02:56.396850,G
Prod-00030,A,AST-114,2025-01-01 10:03:24.930279,2025-01-01 12:51:35.466949,G
Prod-00031,A,AST-112,2025-01-01 10:06:36.017979,2025-01-01 12:55:32.083083,G
Prod-00032,A,AST-103,2025-01-01 10:16:52.257108,2025-01-01 11:54:00.020244,G
Prod-00033,A,AST-105,2025-01-01 10:23:59.627278,2025-01-01 12:45:40.147147,G
Prod-00034,A,AST-115,2025-01-01 10:24:20.444101,2025-01-01 12:17:39.274717,B
Prod-00035,A,AST-113,2025-01-01 10:40:10.927056,2025-01-01 13:25:28.577318,G
Prod-00036,A,AST-118,2025-01-01 10:40:39.092019,2025-01-01 12:11:43.957447,G
Prod-00037,A,AST-101,2025-01-01 10:53:21.355430,2025-01-01 12:17:46.180246,G
Prod-00038,A,AST-116,2025-01-01 11:02:56.396850,2025-01-01 12:22:31.575964,G
