제품ID,공정종류,장비ID,공정시작시간,공정종료시간,품질결과
Prod-00010,B,BEOL-109,2025-01-01 09:03:26.908923,2025-01-01 09:57:23.160817,G
Prod-00002,B,BEOL-102,2025-01-01 09:09:56.800500,2025-01-01 09:36:14.072280,G
Prod-00017,B,BEOL-115,2025-01-01 09:23:06.291185,2025-01-01 10:51:02.684197,G
Prod-00001,B,BEOL-101,2025-01-01 09:31:26.861008,2025-01-01 10:41:03.295458,G
Prod-00007,B,BEOL-106,2025-01-01 09:34:12.623281,2025-01-01 11:01:55.124819,G
Prod-00011,B,BEOL-110,2025-01-01 09:34:32.662650,2025-01-01 10:32:27.507704,G
Prod-00009,B,BEOL-108,2025-01-01 09:40:09.790206,2025-01-01 10:22:13.889979,G
Prod-00008,B,BEOL-107,2025-01-01 09:58:45.363771,2025-01-01 11:06:45.917509,G
Prod-00006,B,BEOL-105,2025-01-01 10:00:09.582220,2025-01-01 11:33:07.836841,G
Prod-00016,B,BEOL-114,2025-01-01 10:01:03.963048,2025-01-01 11:40:19.749982,G
Prod-00014,B,BEOL-112,2025-01-01 10:03:24.930279,2025-01-01 10:26:03.260346,G
Prod-00012,B,BEOL-111,2025-01-01 10:06:36.017979,2025-01-01 10:42:01.897125,G
Prod-00003,B,BEOL-103,2025-01-01 10:16:52.257108,2025-01-01 11:22:45.627928,G
Prod-00005,B,BEOL-104,2025-01-01 10:23:59.627278,2025-01-01 11:16:25.623718,G
Prod-00015,B,BEOL-113,2025-01-01 10:24:20.444101,2025-01-01 11:56:06.133370,G
Prod-00018,B,BEOL-116,2025-01-01 10:40:39.092019,2025-01-01 12:05:09.134873,G
Prod-00023,B,BEOL-121,2025-01-01 10:53:21.355430,2025-01-01 12:31:53.816570,B
Prod-00029,B,BEOL-109,2025-01-01 11:02:56.396850,2025-01-01 12:17:16.254755,G
Prod-00021,B,BEOL-119,2025-01-01 11:21:52.331040,2025-01-01 12:01:56.424043,G
Prod-00026,B,BEOL-123,2025-01-01 11:28:22.975487,2025-01-01 12:18:57.513661,G
Prod-00025,B,BEOL-122,2025-01-01 11:29:22.897525,2025-01-01 12:57:08.343036,G
Prod-00019,B,BEOL-117,2025-01-01 11:33:35.356899,2025-01-01 12:27:09.860836,G
Prod-00032,B,BEOL-110,2025-01-01 11:54:00.020244,2025-01-01 12:15:18.180504,G
Prod-00020,B,BEOL-118,2025-01-01 11:57:21.519483,2025-01-01 13:16:05.375676,G
Prod-00022,B,BEOL-120,2025-01-01 12:00:31.152893,2025-01-01 13:27:13.014147,G
Prod-00028,B,BEOL-102,2025-01-01 12:03:24.733687,2025-01-01 12:49:16.530069,B
Prod-00036,B,BEOL-115,2025-01-01 12:11:43.957447,2025-01-01 12:49:36.119716,G
Prod-00037,B,BEOL-106,2025-01-01 12:17:46.180246,2025-01-01 12:50:58.704917,G
Prod-00038,B,BEOL-107,2025-01-01 12:22:31.575964,2025-01-01 12:56:48.862622,G
Prod-00040,B,BEOL-103,2025-01-01 12:30:00.616535,2025-01-01 14:00:11.015843,G
Prod-00027,B,BEOL-124,2025-01-01 12:34:58.096151,2025-01-01 13:27:29.033341,G
Prod-00033,B,BEOL-101,2025-01-01 12:45:40.147147,2025-01-01 14:01:40.257856,G
Prod-00030,B,BEOL-108,2025-01-01 12:51:35.466949,2025-01-01 13:35:16.998420,G
Prod-00031,B,BEOL-112,2025-01-01 12:55:32.083083,2025-01-01 13:58:09.992777,G
Prod-00035,B,BEOL-111,2025-01-01 13:25:28.577318,2025-01-01 14:30:52.585093,G
Prod-00047,B,BEOL-110,2025-01-01 13:38:19.141927,2025-01-01 14:02:05.497149,G
Prod-00041,B,BEOL-105,2025-01-01 13:38:22.476763,2025-01-01 15:09:55.489917,B
Prod-00053,B,BEOL-115,2025-01-01 13:41:39.715518,2025-01-01 14:50:46.298758,G
Prod-00050,B,BEOL-117,2025-01-01 13:49:00.558053,2025-01-01 14:49:04.030560,G
Prod-00046,B,BEOL-116,2025-01-01 13:50:09.055010,2025-01-01 15:08:56.348284,G
Prod-00039,B,BEOL-104,2025-01-01 13:54:00.100015,2025-01-01 14:55:46.261265,G
Prod-00054,B,BEOL-106,2025-01-01 13:56:10.373481,2025-01-01 14:21:58.004566,G
Prod-00052,B,BEOL-102,2025-01-01 14:05:26.293014,2025-01-01 14:54:23.640678,G
Prod-00049,B,BEOL-123,2025-01-01 14:06:05.620882,2025-01-01 15:27:34.687455,G
Prod-00042,B,BEOL-114,2025-01-01 14:13:16.514021,2025-01-01 14:57:34.820135,G
Prod-00056,B,BEOL-122,2025-01-01 14:22:11.600303,2025-01-01 14:49:15.085389,G
Prod-00051,B,BEOL-121,2025-01-01 14:26:31.875102,2025-01-01 14:50:32.115714,G
Prod-00048,B,BEOL-109,2025-01-01 14:34:46.835844,2025-01-01 15:31:43.433986,G
Prod-00044,B,BEOL-113,2025-01-01 14:41:41.181949,2025-01-01 15:11:23.342145,G
Prod-00045,B,BEOL-119,2025-01-01 14:44:08.055099,2025-01-01 15:16:45.922475,G
Prod-00060,B,BEOL-108,2025-01-01 14:44:27.803437,2025-01-01 16:24:19.641611,G
Prod-00055,B,BEOL-107,2025-01-01 15:00:50.185953,2025-01-01 15:53:26.131910,G
Prod-00057,B,BEOL-118,2025-01-01 15:05:54.569778,2025-01-01 16:44:49.871950,G
Prod-00059,B,BEOL-124,2025-01-01 15:11:44.508791,2025-01-01 15:48:44.518470,G
Prod-00063,B,BEOL-101,2025-01-01 15:26:11.452091,2025-01-01 16:27:22.842515,G
Prod-00062,B,BEOL-103,2025-01-01 15:29:23.900986,2025-01-01 16:23:34.640368,G
Prod-00069,B,BEOL-122,2025-01-01 15:38:10.734502,2025-01-01 16:42:34.184220,G
Prod-00061,B,BEOL-112,2025-01-01 15:38:51.214233,2025-01-01 16:18:23.404492,G
Prod-00068,B,BEOL-117,2025-01-01 15:39:33.270466,2025-01-01 16:32:03.439784,G
Prod-00070,B,BEOL-121,2025-01-01 15:47:13.703162,2025-01-01 16:32:32.955874,G
Prod-00058,B,BEOL-120,2025-01-01 15:47:45.991629,2025-01-01 17:26:21.196457,G
Prod-00066,B,BEOL-106,2025-01-01 15:53:28.085338,2025-01-01 16:33:04.667828,G
Prod-00065,B,BEOL-110,2025-01-01 16:12:53.184316,2025-01-01 16:56:39.751693,G
Prod-00079,B,BEOL-123,2025-01-01 16:30:29.240526,2025-01-01 16:55:31.411445,G
Prod-00072,B,BEOL-102,2025-01-01 16:31:09.140947,2025-01-01 17:10:55.412774,G
Prod-00077,B,BEOL-113,2025-01-01 16:36:38.859107,2025-01-01 18:14:28.403043,G
Prod-00067,B,BEOL-111,2025-01-01 16:37:36.618647,2025-01-01 18:05:35.807230,G
Prod-00071,B,BEOL-115,2025-01-01 16:43:15.780266,2025-01-01 17:36:32.335717,G
Prod-00083,B,BEOL-112,2025-01-01 16:53:24.597409,2025-01-01 17:20:19.317794,G
Prod-00074,B,BEOL-114,2025-01-01 17:16:03.819543,2025-01-01 18:52:03.734673,G
Prod-00082,B,BEOL-107,2025-01-01 17:25:58.949822,2025-01-01 18:22:38.628319,G
Prod-00076,B,BEOL-105,2025-01-01 17:27:51.948722,2025-01-01 17:47:57.277964,G
Prod-00078,B,BEOL-119,2025-01-01 17:30:43.548812,2025-01-01 18:45:55.693705,B
Prod-00073,B,BEOL-104,2025-01-01 17:30:51.964425,2025-01-01 18:23:48.578265,G
Prod-00075,B,BEOL-116,2025-01-01 17:47:18.728720,2025-01-01 18:30:08.086511,G
Prod-00087,B,BEOL-101,2025-01-01 18:20:25.278830,2025-01-01 19:15:54.250656,G
Prod-00081,B,BEOL-124,2025-01-01 18:22:25.114503,2025-01-01 19:01:26.641020,G
Prod-00080,B,BEOL-109,2025-01-01 18:23:25.522331,2025-01-01 19:31:09.202067,G
Prod-00097,B,BEOL-120,2025-01-01 18:35:27.285852,2025-01-01 19:33:10.996785,G
Prod-00091,B,BEOL-122,2025-01-01 18:39:09.560554,2025-01-01 19:08:07.840158,B
Prod-00089,B,BEOL-121,2025-01-01 18:40:33.491168,2025-01-01 19:56:14.438230,G
Prod-00086,B,BEOL-108,2025-01-01 18:40:51.202117,2025-01-01 19:56:11.372715,B
Prod-00085,B,BEOL-103,2025-01-01 18:52:17.410712,2025-01-01 19:40:11.764121,G
Prod-00093,B,BEOL-123,2025-01-01 18:53:15.252716,2025-01-01 19:24:30.351867,G
Prod-00090,B,BEOL-106,2025-01-01 18:59:01.911042,2025-01-01 19:19:32.097456,G
Prod-00096,B,BEOL-112,2025-01-01 19:06:00.013164,2025-01-01 20:34:56.351806,G
Prod-00092,B,BEOL-118,2025-01-01 19:08:26.858296,2025-01-01 20:48:14.103331,G
Prod-00100,B,BEOL-111,2025-01-01 19:12:02.790435,2025-01-01 20:23:51.454959,G
Prod-00088,B,BEOL-117,2025-01-01 19:22:49.336408,2025-01-01 20:27:42.249195,G
Prod-00106,B,BEOL-114,2025-01-01 19:40:53.045417,2025-01-01 20:03:12.791577,G
Prod-00108,B,BEOL-122,2025-01-01 19:57:45.815412,2025-01-01 21:14:19.559956,G
Prod-00094,B,BEOL-110,2025-01-01 20:01:38.261469,2025-01-01 21:12:42.089686,G
Prod-00099,B,BEOL-105,2025-01-01 20:07:46.627874,2025-01-01 21:15:17.699209,G
Prod-00102,B,BEOL-107,2025-01-01 20:09:18.952778,2025-01-01 21:20:44.599648,G
Prod-00095,B,BEOL-102,2025-01-01 20:15:39.746595,2025-01-01 21:15:24.899929,G
Prod-00098,B,BEOL-115,2025-01-01 20:17:06.813667,2025-01-01 20:50:19.971645,G
Prod-00101,B,BEOL-113,2025-01-01 20:24:54.506044,2025-01-01 21:39:16.669945,G
Prod-00103,B,BEOL-104,2025-01-01 20:30:45.155574,2025-01-01 21:24:31.161385,G
Prod-00105,B,BEOL-119,2025-01-01 20:36:45.617291,2025-01-01 22:00:30.788446,G
Prod-00104,B,BEOL-116,2025-01-01 20:38:31.969609,2025-01-01 21:58:40.865526,G
