제품ID,공정종류,장비ID,공정시작시간,공정종료시간,품질결과
Prod-00002,C,CRL-102,2025-01-01 09:36:14.072280,2025-01-01 09:47:27.427006,G
Prod-00009,C,CRL-102,2025-01-01 10:22:13.889979,2025-01-01 10:37:49.269089,B
Prod-00010,C,CRL-102,2025-01-01 10:37:49.269089,2025-01-01 10:50:26.263558,G
Prod-00001,C,CRL-101,2025-01-01 10:41:03.295458,2025-01-01 11:00:08.095098,G
Prod-00011,C,CRL-102,2025-01-01 10:50:26.263558,2025-01-01 11:02:56.209386,G
Prod-00012,C,CRL-101,2025-01-01 11:00:08.095098,2025-01-01 11:10:54.151450,G
Prod-00007,C,CRL-106,2025-01-01 11:01:55.124819,2025-01-01 11:12:47.707495,G
Prod-00014,C,CRL-102,2025-01-01 11:02:56.209386,2025-01-01 11:19:51.610434,G
Prod-00008,C,CRL-107,2025-01-01 11:06:45.917509,2025-01-01 11:19:30.093392,G
Prod-00005,C,CRL-104,2025-01-01 11:16:25.623718,2025-01-01 11:35:47.148676,G
Prod-00017,C,CRL-107,2025-01-01 11:19:30.093392,2025-01-01 11:32:55.099529,G
Prod-00003,C,CRL-103,2025-01-01 11:22:45.627928,2025-01-01 11:40:49.128757,G
Prod-00006,C,CRL-105,2025-01-01 11:33:07.836841,2025-01-01 11:50:00.942521,G
Prod-00016,C,CRL-106,2025-01-01 11:40:19.749982,2025-01-01 11:59:14.374519,B
Prod-00015,C,CRL-101,2025-01-01 11:56:06.133370,2025-01-01 12:14:17.313296,G
Prod-00021,C,CRL-103,2025-01-01 12:01:56.424043,2025-01-01 12:19:07.851792,G
Prod-00018,C,CRL-102,2025-01-01 12:05:09.134873,2025-01-01 12:24:15.804711,G
Prod-00026,C,CRL-101,2025-01-01 12:18:57.513661,2025-01-01 12:26:58.950260,G
Prod-00029,C,CRL-102,2025-01-01 12:24:15.804711,2025-01-01 12:31:42.927715,B
Prod-00019,C,CRL-107,2025-01-01 12:27:09.860836,2025-01-01 12:42:52.084219,G
Prod-00032,C,CRL-107,2025-01-01 12:42:52.084219,2025-01-01 12:57:19.394551,G
Prod-00025,C,CRL-106,2025-01-01 12:57:08.343036,2025-01-01 13:09:12.790195,G
Prod-00020,C,CRL-104,2025-01-01 13:16:05.375676,2025-01-01 13:21:18.712283,G
Prod-00036,C,CRL-104,2025-01-01 13:21:18.712283,2025-01-01 13:30:15.220134,G
Prod-00022,C,CRL-105,2025-01-01 13:27:13.014147,2025-01-01 13:34:09.301511,G
Prod-00027,C,CRL-103,2025-01-01 13:27:29.033341,2025-01-01 13:41:41.175649,G
Prod-00037,C,CRL-104,2025-01-01 13:30:15.220134,2025-01-01 13:50:11.988886,G
Prod-00038,C,CRL-105,2025-01-01 13:34:09.301511,2025-01-01 13:47:35.626235,G
Prod-00030,C,CRL-101,2025-01-01 13:35:16.998420,2025-01-01 13:48:59.713239,G
Prod-00031,C,CRL-102,2025-01-01 13:58:09.992777,2025-01-01 14:17:58.573683,G
Prod-00040,C,CRL-105,2025-01-01 14:00:11.015843,2025-01-01 14:08:05.296648,B
Prod-00033,C,CRL-107,2025-01-01 14:01:40.257856,2025-01-01 14:15:45.014271,G
Prod-00047,C,CRL-102,2025-01-01 14:17:58.573683,2025-01-01 14:30:37.674094,B
Prod-00035,C,CRL-106,2025-01-01 14:30:52.585093,2025-01-01 14:36:10.637113,G
Prod-00039,C,CRL-103,2025-01-01 14:55:46.261265,2025-01-01 15:01:21.344341,G
Prod-00042,C,CRL-101,2025-01-01 14:57:34.820135,2025-01-01 15:13:34.738162,G
Prod-00050,C,CRL-103,2025-01-01 15:01:21.344341,2025-01-01 15:21:03.970776,R
Prod-00046,C,CRL-107,2025-01-01 15:08:56.348284,2025-01-01 15:27:34.268712,G
Prod-00044,C,CRL-104,2025-01-01 15:11:23.342145,2025-01-01 15:25:09.686802,G
Prod-00045,C,CRL-105,2025-01-01 15:16:45.922475,2025-01-01 15:23:50.909204,B
Prod-00051,C,CRL-103,2025-01-01 15:21:03.970776,2025-01-01 15:27:45.247364,G
Prod-00050,C,CRL-101,2025-01-01 15:21:03.970776,2025-01-01 15:36:17.475044,G
Prod-00052,C,CRL-105,2025-01-01 15:23:50.909204,2025-01-01 15:40:07.848675,R
Prod-00053,C,CRL-107,2025-01-01 15:27:34.268712,2025-01-01 15:37:51.158166,G
Prod-00049,C,CRL-106,2025-01-01 15:27:34.687455,2025-01-01 15:46:24.946237,G
Prod-00054,C,CRL-103,2025-01-01 15:27:45.247364,2025-01-01 15:41:18.105745,G
Prod-00048,C,CRL-102,2025-01-01 15:31:43.433986,2025-01-01 15:51:20.857814,G
Prod-00056,C,CRL-107,2025-01-01 15:37:51.158166,2025-01-01 15:57:18.506515,G
Prod-00052,C,CRL-104,2025-01-01 15:40:07.848675,2025-01-01 15:54:53.282710,G
Prod-00059,C,CRL-106,2025-01-01 15:48:44.518470,2025-01-01 16:05:12.866423,G
Prod-00055,C,CRL-101,2025-01-01 15:53:26.131910,2025-01-01 16:00:58.535839,G
Prod-00061,C,CRL-104,2025-01-01 16:18:23.404492,2025-01-01 16:38:20.686579,G
Prod-00062,C,CRL-107,2025-01-01 16:23:34.640368,2025-01-01 16:30:34.193644,G
Prod-00060,C,CRL-102,2025-01-01 16:24:19.641611,2025-01-01 16:35:59.994592,G
Prod-00063,C,CRL-101,2025-01-01 16:27:22.842515,2025-01-01 16:41:05.294755,R
Prod-00066,C,CRL-104,2025-01-01 16:38:20.686579,2025-01-01 16:49:08.538094,G
Prod-00063,C,CRL-106,2025-01-01 16:41:05.294755,2025-01-01 16:50:12.051606,R
Prod-00057,C,CRL-105,2025-01-01 16:44:49.871950,2025-01-01 17:00:09.970430,G
Prod-00068,C,CRL-104,2025-01-01 16:49:08.538094,2025-01-01 16:55:58.825543,G
Prod-00063,C,CRL-107,2025-01-01 16:50:12.051606,2025-01-01 16:57:56.800682,B
Prod-00069,C,CRL-106,2025-01-01 16:50:12.051606,2025-01-01 17:06:45.444949,G
Prod-00070,C,CRL-104,2025-01-01 16:55:58.825543,2025-01-01 17:09:13.536202,G
Prod-00065,C,CRL-102,2025-01-01 16:56:39.751693,2025-01-01 17:15:35.260451,G
Prod-00072,C,CRL-105,2025-01-01 17:10:55.412774,2025-01-01 17:19:39.428159,G
Prod-00058,C,CRL-103,2025-01-01 17:26:21.196457,2025-01-01 17:33:26.556473,G
Prod-00071,C,CRL-107,2025-01-01 17:36:32.335717,2025-01-01 17:41:43.091167,G
Prod-00079,C,CRL-107,2025-01-01 17:41:43.091167,2025-01-01 17:50:05.817756,G
Prod-00076,C,CRL-105,2025-01-01 17:47:57.277964,2025-01-01 17:55:17.445991,G
Prod-00067,C,CRL-101,2025-01-01 18:05:35.807230,2025-01-01 18:13:40.063891,G
Prod-00077,C,CRL-103,2025-01-01 18:14:28.403043,2025-01-01 18:21:29.221816,G
Prod-00083,C,CRL-103,2025-01-01 18:21:29.221816,2025-01-01 18:28:31.352429,G
Prod-00082,C,CRL-101,2025-01-01 18:22:38.628319,2025-01-01 18:39:14.040610,G
Prod-00073,C,CRL-106,2025-01-01 18:23:48.578265,2025-01-01 18:29:36.208290,G
Prod-00075,C,CRL-102,2025-01-01 18:30:08.086511,2025-01-01 18:37:47.061318,B
Prod-00074,C,CRL-104,2025-01-01 18:52:03.734673,2025-01-01 19:11:02.694172,G
Prod-00081,C,CRL-105,2025-01-01 19:01:26.641020,2025-01-01 19:09:52.961571,G
Prod-00087,C,CRL-106,2025-01-01 19:15:54.250656,2025-01-01 19:32:48.910469,G
Prod-00090,C,CRL-105,2025-01-01 19:19:32.097456,2025-01-01 19:27:20.847244,G
Prod-00093,C,CRL-105,2025-01-01 19:27:20.847244,2025-01-01 19:46:00.399626,G
Prod-00080,C,CRL-107,2025-01-01 19:31:09.202067,2025-01-01 19:46:24.928798,G
Prod-00085,C,CRL-103,2025-01-01 19:40:11.764121,2025-01-01 19:53:30.100357,G
Prod-00097,C,CRL-103,2025-01-01 19:53:30.100357,2025-01-01 20:10:31.645990,B
Prod-00089,C,CRL-101,2025-01-01 19:56:14.438230,2025-01-01 20:15:26.563372,G
Prod-00088,C,CRL-102,2025-01-01 20:27:42.249195,2025-01-01 20:47:35.224804,G
Prod-00096,C,CRL-107,2025-01-01 20:34:56.351806,2025-01-01 20:54:35.875736,G
Prod-00100,C,CRL-102,2025-01-01 20:47:35.224804,2025-01-01 21:04:42.282722,G
Prod-00092,C,CRL-104,2025-01-01 20:48:14.103331,2025-01-01 20:57:26.220290,G
Prod-00098,C,CRL-103,2025-01-01 20:50:19.971645,2025-01-01 20:59:04.820383,G
Prod-00094,C,CRL-106,2025-01-01 21:12:42.089686,2025-01-01 21:27:22.687325,B
Prod-00099,C,CRL-101,2025-01-01 21:15:17.699209,2025-01-01 21:30:45.137741,G
Prod-00095,C,CRL-105,2025-01-01 21:15:24.899929,2025-01-01 21:32:23.570294,G
Prod-00102,C,CRL-104,2025-01-01 21:20:44.599648,2025-01-01 21:37:16.034217,G
Prod-00103,C,CRL-103,2025-01-01 21:24:31.161385,2025-01-01 21:34:27.755019,G
Prod-00106,C,CRL-101,2025-01-01 21:30:45.137741,2025-01-01 21:42:21.006689,G
Prod-00108,C,CRL-103,2025-01-01 21:34:27.755019,2025-01-01 21:46:18.247195,G
Prod-00101,C,CRL-107,2025-01-01 21:39:16.669945,2025-01-01 21:52:44.766713,G
Prod-00109,C,CRL-104,2025-01-01 21:55:07.977296,2025-01-01 22:09:50.056017,R
Prod-00104,C,CRL-102,2025-01-01 21:58:40.865526,2025-01-01 22:06:29.354741,G
Prod-00105,C,CRL-106,2025-01-01 22:00:30.788446,2025-01-01 22:06:18.903964,G
Prod-00109,C,CRL-101,2025-01-01 22:09:50.056017,2025-01-01 22:26:01.405263,G
Prod-00114,C,CRL-102,2025-01-01 22:10:45.895338,2025-01-01 22:30:19.991302,G
Prod-00113,C,CRL-106,2025-01-01 22:53:03.459769,2025-01-01 23:01:39.618783,G
Prod-00118,C,CRL-106,2025-01-01 23:01:39.618783,2025-01-01 23:09:21.355174,G
Prod-00107,C,CRL-105,2025-01-01 23:04:33.302134,2025-01-01 23:11:56.941681,G
Prod-00110,C,CRL-103,2025-01-01 23:04:57.125091,2025-01-01 23:11:09.292109,R
Prod-00115,C,CRL-104,2025-01-01 23:05:55.794637,2025-01-01 23:11:51.523673,G
Prod-00116,C,CRL-101,2025-01-01 23:06:19.580548,2025-01-01 23:18:56.127476,G
Prod-00119,C,CRL-106,2025-01-01 23:09:21.355174,2025-01-01 23:20:32.099233,G
Prod-00110,C,CRL-107,2025-01-01 23:11:09.292109,2025-01-01 23:30:10.295235,G
Prod-00125,C,CRL-101,2025-01-01 23:18:56.127476,2025-01-01 23:28:57.381773,G
Prod-00122,C,CRL-104,2025-01-01 23:25:19.239354,2025-01-01 23:45:10.629148,G
Prod-00123,C,CRL-105,2025-01-01 23:46:17.193497,2025-01-02 00:03:44.621966,G
Prod-00131,C,CRL-105,2025-01-02 00:06:48.591859,2025-01-02 00:21:01.593083,G
Prod-00117,C,CRL-102,2025-01-02 00:07:07.936024,2025-01-02 00:14:28.641859,B
Prod-00121,C,CRL-103,2025-01-02 00:32:20.238283,2025-01-02 00:41:17.443275,G
Prod-00126,C,CRL-106,2025-01-02 00:43:17.653505,2025-01-02 00:57:45.177402,G
Prod-00129,C,CRL-107,2025-01-02 00:46:27.954577,2025-01-02 00:57:37.463043,G
Prod-00134,C,CRL-105,2025-01-02 00:50:26.397165,2025-01-02 01:01:13.356555,G
Prod-00132,C,CRL-102,2025-01-02 00:57:12.555426,2025-01-02 01:02:44.584945,G
Prod-00139,C,CRL-105,2025-01-02 01:01:13.356555,2025-01-02 01:11:30.769764,G
Prod-00127,C,CRL-101,2025-01-02 01:13:54.866851,2025-01-02 01:25:40.178777,G
Prod-00130,C,CRL-104,2025-01-02 01:23:38.661382,2025-01-02 01:31:25.429482,G
Prod-00145,C,CRL-104,2025-01-02 01:31:25.429482,2025-01-02 01:38:19.835445,G
Prod-00138,C,CRL-106,2025-01-02 01:35:23.274915,2025-01-02 01:45:46.093361,G
Prod-00143,C,CRL-105,2025-01-02 01:46:55.092631,2025-01-02 01:54:32.956734,G
Prod-00147,C,CRL-106,2025-01-02 01:49:16.309989,2025-01-02 02:09:00.248067,G
Prod-00144,C,CRL-101,2025-01-02 01:53:16.608770,2025-01-02 02:01:26.117745,G
Prod-00146,C,CRL-104,2025-01-02 01:58:52.961405,2025-01-02 02:10:33.769310,G
Prod-00142,C,CRL-102,2025-01-02 02:17:32.862529,2025-01-02 02:35:54.902966,G
Prod-00149,C,CRL-101,2025-01-02 02:23:28.444420,2025-01-02 02:37:29.744327,G
Prod-00137,C,CRL-107,2025-01-02 02:25:37.120360,2025-01-02 02:38:37.126806,G
Prod-00136,C,CRL-103,2025-01-02 02:32:16.820221,2025-01-02 02:40:55.399475,G
Prod-00153,C,CRL-101,2025-01-02 02:46:00.912655,2025-01-02 03:01:22.214318,G
Prod-00151,C,CRL-104,2025-01-02 02:58:07.672789,2025-01-02 03:06:46.496062,G
Prod-00157,C,CRL-101,2025-01-02 03:01:22.214318,2025-01-02 03:15:09.539940,G
Prod-00150,C,CRL-106,2025-01-02 03:01:32.567110,2025-01-02 03:14:31.155940,G
Prod-00158,C,CRL-104,2025-01-02 03:06:46.496062,2025-01-02 03:23:47.240492,G
Prod-00154,C,CRL-107,2025-01-02 03:07:05.615148,2025-01-02 03:25:43.898365,G
Prod-00159,C,CRL-106,2025-01-02 03:19:56.419633,2025-01-02 03:25:54.939850,G
Prod-00148,C,CRL-105,2025-01-02 03:26:28.432343,2025-01-02 03:44:29.898603,G
Prod-00155,C,CRL-103,2025-01-02 03:34:33.199782,2025-01-02 03:47:16.158408,G
Prod-00160,C,CRL-101,2025-01-02 03:54:07.127894,2025-01-02 04:07:57.086703,G
Prod-00164,C,CRL-106,2025-01-02 03:55:33.550617,2025-01-02 04:06:41.483453,G
Prod-00152,C,CRL-102,2025-01-02 03:57:34.856903,2025-01-02 04:15:23.855802,G
Prod-00162,C,CRL-104,2025-01-02 04:02:15.126099,2025-01-02 04:10:11.976014,G
Prod-00167,C,CRL-106,2025-01-02 04:07:11.305216,2025-01-02 04:17:06.459932,G
Prod-00168,C,CRL-101,2025-01-02 04:07:57.086703,2025-01-02 04:23:23.795998,G
Prod-00165,C,CRL-105,2025-01-02 04:24:53.037977,2025-01-02 04:38:42.965000,G
Prod-00166,C,CRL-103,2025-01-02 04:30:11.861762,2025-01-02 04:43:28.816437,B
Prod-00163,C,CRL-107,2025-01-02 04:36:38.964072,2025-01-02 04:56:10.433533,G
Prod-00173,C,CRL-105,2025-01-02 04:38:42.965000,2025-01-02 04:52:04.344780,G
Prod-00172,C,CRL-101,2025-01-02 04:44:50.918246,2025-01-02 04:53:22.789278,G
Prod-00169,C,CRL-104,2025-01-02 04:45:36.848651,2025-01-02 04:55:09.303304,G
Prod-00176,C,CRL-101,2025-01-02 04:53:22.789278,2025-01-02 05:00:02.314641,G
Prod-00178,C,CRL-107,2025-01-02 05:10:46.186626,2025-01-02 05:27:21.355106,G
Prod-00179,C,CRL-101,2025-01-02 05:11:43.479175,2025-01-02 05:22:52.439978,G
Prod-00171,C,CRL-106,2025-01-02 05:19:02.406400,2025-01-02 05:31:53.105487,G
Prod-00180,C,CRL-101,2025-01-02 05:22:52.439978,2025-01-02 05:40:02.413285,G
Prod-00174,C,CRL-103,2025-01-02 05:28:03.407873,2025-01-02 05:39:06.148813,G
Prod-00170,C,CRL-102,2025-01-02 05:47:50.721982,2025-01-02 06:07:29.290085,G
Prod-00182,C,CRL-106,2025-01-02 05:53:14.210585,2025-01-02 05:59:09.130720,R
Prod-00182,C,CRL-103,2025-01-02 05:59:09.130720,2025-01-02 06:09:42.437906,G
Prod-00181,C,CRL-107,2025-01-02 06:07:15.272103,2025-01-02 06:19:28.542384,B
Prod-00186,C,CRL-102,2025-01-02 06:07:29.290085,2025-01-02 06:15:55.743554,G
Prod-00175,C,CRL-105,2025-01-02 06:11:18.912416,2025-01-02 06:22:11.449385,G
Prod-00189,C,CRL-107,2025-01-02 06:19:28.542384,2025-01-02 06:32:19.831261,R
Prod-00177,C,CRL-104,2025-01-02 06:22:34.001367,2025-01-02 06:31:32.295937,G
Prod-00189,C,CRL-105,2025-01-02 06:32:19.831261,2025-01-02 06:43:19.620031,G
Prod-00183,C,CRL-101,2025-01-02 06:50:29.541714,2025-01-02 07:03:13.729866,G
Prod-00188,C,CRL-102,2025-01-02 06:53:05.673685,2025-01-02 07:11:54.242012,B
Prod-00185,C,CRL-106,2025-01-02 06:59:15.345560,2025-01-02 07:08:22.699738,G
Prod-00192,C,CRL-107,2025-01-02 06:59:31.040801,2025-01-02 07:14:26.148480,G
Prod-00187,C,CRL-103,2025-01-02 07:12:03.807481,2025-01-02 07:29:17.532207,G
Prod-00198,C,CRL-107,2025-01-02 07:33:13.285205,2025-01-02 07:45:20.103339,G
Prod-00200,C,CRL-103,2025-01-02 07:53:24.455173,2025-01-02 08:01:02.320807,R
Prod-00193,C,CRL-105,2025-01-02 07:53:49.561060,2025-01-02 07:59:31.381795,B
Prod-00201,C,CRL-105,2025-01-02 07:59:31.381795,2025-01-02 08:11:20.878706,G
Prod-00202,C,CRL-103,2025-01-02 08:01:02.320807,2025-01-02 08:14:03.914771,B
Prod-00200,C,CRL-107,2025-01-02 08:01:02.320807,2025-01-02 08:15:56.770208,G
Prod-00203,C,CRL-105,2025-01-02 08:11:20.878706,2025-01-02 08:20:53.929024,G
Prod-00190,C,CRL-104,2025-01-02 08:14:50.510161,2025-01-02 08:23:32.887111,G
Prod-00206,C,CRL-105,2025-01-02 08:20:55.842730,2025-01-02 08:33:51.343669,G
Prod-00194,C,CRL-101,2025-01-02 08:23:09.629178,2025-01-02 08:39:18.215369,R
Prod-00209,C,CRL-105,2025-01-02 08:33:51.343669,2025-01-02 08:46:39.166726,G
Prod-00197,C,CRL-102,2025-01-02 08:34:02.335133,2025-01-02 08:50:37.071323,G
Prod-00194,C,CRL-106,2025-01-02 08:39:18.215369,2025-01-02 08:46:30.251915,G
Prod-00204,C,CRL-103,2025-01-02 08:59:03.953148,2025-01-02 09:15:20.035421,G
Prod-00213,C,CRL-102,2025-01-02 09:12:37.116404,2025-01-02 09:19:13.068784,G
Prod-00215,C,CRL-102,2025-01-02 09:19:13.068784,2025-01-02 09:35:34.945907,G
Prod-00208,C,CRL-104,2025-01-02 09:38:43.696289,2025-01-02 09:56:04.693392,G
Prod-00212,C,CRL-105,2025-01-02 09:45:09.002881,2025-01-02 10:02:09.453409,G
Prod-00205,C,CRL-107,2025-01-02 09:47:02.777195,2025-01-02 09:53:15.916170,B
Prod-00210,C,CRL-101,2025-01-02 09:54:41.753971,2025-01-02 10:09:26.483611,G
Prod-00220,C,CRL-105,2025-01-02 10:02:09.453409,2025-01-02 10:19:01.982837,G
Prod-00218,C,CRL-107,2025-01-02 10:08:26.454203,2025-01-02 10:17:57.013028,G
Prod-00221,C,CRL-101,2025-01-02 10:09:26.483611,2025-01-02 10:18:29.788898,B
Prod-00211,C,CRL-106,2025-01-02 10:15:16.545167,2025-01-02 10:30:20.220472,G
Prod-00223,C,CRL-107,2025-01-02 10:17:57.013028,2025-01-02 10:26:37.012277,G
Prod-00217,C,CRL-102,2025-01-02 10:25:59.586911,2025-01-02 10:44:59.941175,B
Prod-00228,C,CRL-107,2025-01-02 10:29:58.729852,2025-01-02 10:45:22.437156,B
Prod-00214,C,CRL-103,2025-01-02 10:43:33.143641,2025-01-02 10:49:16.887918,G
Prod-00229,C,CRL-106,2025-01-02 10:56:16.932062,2025-01-02 11:03:24.831727,G
Prod-00219,C,CRL-104,2025-01-02 10:58:46.404693,2025-01-02 11:07:26.983555,B
Prod-00227,C,CRL-105,2025-01-02 11:00:41.060816,2025-01-02 11:16:32.824329,G
Prod-00225,C,CRL-101,2025-01-02 11:11:34.092468,2025-01-02 11:19:19.192594,G
