제품ID,공정종류,장비ID,공정시작시간,공정종료시간,품질결과
Prod-00001,A,AST-109,2025-01-01 8:00:00,2025-01-01 10:56:00,G
Prod-00002,A,AST-112,2025-01-01 12:18:00,2025-01-01 14:26:00,G
Prod-00003,A,AST-102,2025-01-01 15:27:00,2025-01-01 18:21:00,G
Prod-00004,A,AST-117,2025-01-01 20:09:00,2025-01-01 22:37:00,G
Prod-00005,A,AST-103,2025-01-02 0:11:00,2025-01-02 2:14:00,B
Prod-00006,A,AST-115,2025-01-02 2:14:00,2025-01-02 4:16:00,G
Prod-00007,A,AST-112,2025-01-02 5:36:00,2025-01-02 8:29:00,G
Prod-00008,A,AST-108,2025-01-02 10:12:00,2025-01-02 13:04:00,G
Prod-00009,A,AST-117,2025-01-02 14:37:00,2025-01-02 16:12:00,G
Prod-00010,A,AST-115,2025-01-02 17:00:00,2025-01-02 19:01:00,G
Prod-00011,A,AST-108,2025-01-02 20:19:00,2025-01-02 22:31:00,G
Prod-00012,A,AST-105,2025-01-02 23:35:00,2025-01-03 1:11:00,G
Prod-00013,A,AST-112,2025-01-03 2:08:00,2025-01-03 3:32:00,G
Prod-00014,A,AST-102,2025-01-03 5:13:00,2025-01-03 6:33:00,B
Prod-00015,A,AST-103,2025-01-03 6:33:00,2025-01-03 7:36:00,G
Prod-00016,A,AST-118,2025-01-03 8:10:00,2025-01-03 9:54:00,G
Prod-00017,A,AST-112,2025-01-03 11:43:00,2025-01-03 13:04:00,G
Prod-00018,A,AST-102,2025-01-03 13:55:00,2025-01-03 16:08:00,G
Prod-00019,A,AST-103,2025-01-03 17:22:00,2025-01-03 18:25:00,G
Prod-00020,A,AST-104,2025-01-03 19:55:00,2025-01-03 21:31:00,G
Prod-00021,A,AST-106,2025-01-03 22:34:00,2025-01-04 0:28:00,G
Prod-00022,A,AST-112,2025-01-04 1:31:00,2025-01-04 2:35:00,G
Prod-00023,A,AST-118,2025-01-04 3:40:00,2025-01-04 5:06:00,G
Prod-00024,A,AST-112,2025-01-04 6:32:00,2025-01-04 8:45:00,G
Prod-00025,A,AST-108,2025-01-04 9:40:00,2025-01-04 11:49:00,G
Prod-00026,A,AST-107,2025-01-04 13:06:00,2025-01-04 14:49:00,G
Prod-00027,A,AST-107,2025-01-04 16:42:00,2025-01-04 18:42:00,G
Prod-00028,A,AST-110,2025-01-04 20:07:00,2025-01-04 21:40:00,G
Prod-00029,A,AST-110,2025-01-04 22:37:00,2025-01-05 1:14:00,G
Prod-00030,A,AST-112,2025-01-05 2:59:00,2025-01-05 4:43:00,G
Prod-00031,A,AST-113,2025-01-05 5:51:00,2025-01-05 8:34:00,G
Prod-00032,A,AST-107,2025-01-05 10:19:00,2025-01-05 12:39:00,G
Prod-00033,A,AST-112,2025-01-05 13:38:00,2025-01-05 16:31:00,G
Prod-00034,A,AST-117,2025-01-05 17:20:00,2025-01-05 18:38:00,G
Prod-00035,A,AST-105,2025-01-05 19:52:00,2025-01-05 22:45:00,G
Prod-00036,A,AST-102,2025-01-06 0:42:00,2025-01-06 2:30:00,G
Prod-00037,A,AST-112,2025-01-06 3:55:00,2025-01-06 5:37:00,G
Prod-00038,A,AST-117,2025-01-06 7:20:00,2025-01-06 9:43:00,G
Prod-00039,A,AST-114,2025-01-06 11:50:00,2025-01-06 14:21:00,G
Prod-00040,A,AST-101,2025-01-06 15:11:00,2025-01-06 17:19:00,G
Prod-00041,A,AST-105,2025-01-06 18:13:00,2025-01-06 19:48:00,G
Prod-00042,A,AST-118,2025-01-06 20:52:00,2025-01-06 23:21:00,G
Prod-00043,A,AST-103,2025-01-07 0:18:00,2025-01-07 2:14:00,G
Prod-00044,A,AST-107,2025-01-07 3:11:00,2025-01-07 4:39:00,G
Prod-00045,A,AST-105,2025-01-07 6:15:00,2025-01-07 9:07:00,G
Prod-00046,A,AST-101,2025-01-07 10:45:00,2025-01-07 12:16:00,G
Prod-00047,A,AST-112,2025-01-07 13:05:00,2025-01-07 14:33:00,G
Prod-00048,A,AST-117,2025-01-07 15:00:00,2025-01-07 16:23:00,G
Prod-00049,A,AST-107,2025-01-07 18:06:00,2025-01-07 19:55:00,G
Prod-00050,A,AST-108,2025-01-07 21:19:00,2025-01-07 22:51:00,G
Prod-00051,A,AST-113,2025-01-08 0:31:00,2025-01-08 1:41:00,G
Prod-00052,A,AST-108,2025-01-08 3:12:00,2025-01-08 4:21:00,G
Prod-00053,A,AST-110,2025-01-08 5:41:00,2025-01-08 7:39:00,G
Prod-00054,A,AST-108,2025-01-08 9:28:00,2025-01-08 11:04:00,G
Prod-00055,A,AST-104,2025-01-08 12:59:00,2025-01-08 15:22:00,G
Prod-00056,A,AST-114,2025-01-08 17:12:00,2025-01-08 19:21:00,G
Prod-00057,A,AST-112,2025-01-08 20:54:00,2025-01-08 22:40:00,G
Prod-00058,A,AST-114,2025-01-09 0:02:00,2025-01-09 2:30:00,B
Prod-00059,A,AST-106,2025-01-09 2:30:00,2025-01-09 3:42:00,G
Prod-00060,A,AST-103,2025-01-09 4:52:00,2025-01-09 6:24:00,G
Prod-00061,A,AST-110,2025-01-09 7:35:00,2025-01-09 9:11:00,G
Prod-00062,A,AST-109,2025-01-09 10:22:00,2025-01-09 12:46:00,G
Prod-00063,A,AST-110,2025-01-09 13:30:00,2025-01-09 14:51:00,G
Prod-00064,A,AST-104,2025-01-09 15:56:00,2025-01-09 18:44:00,G
Prod-00065,A,AST-105,2025-01-09 19:10:00,2025-01-09 20:21:00,G
Prod-00066,A,AST-104,2025-01-09 21:32:00,2025-01-09 23:41:00,G
Prod-00067,A,AST-103,2025-01-10 0:45:00,2025-01-10 2:57:00,G
Prod-00068,A,AST-115,2025-01-10 4:36:00,2025-01-10 7:09:00,B
Prod-00069,A,AST-104,2025-01-10 7:09:00,2025-01-10 9:04:00,G
Prod-00070,A,AST-113,2025-01-10 10:18:00,2025-01-10 12:45:00,G
Prod-00071,A,AST-115,2025-01-10 13:41:00,2025-01-10 15:04:00,G
Prod-00072,A,AST-109,2025-01-10 16:00:00,2025-01-10 18:56:00,G
Prod-00073,A,AST-118,2025-01-10 20:01:00,2025-01-10 21:29:00,G
Prod-00074,A,AST-105,2025-01-10 23:16:00,2025-01-11 1:31:00,G
Prod-00075,A,AST-116,2025-01-11 3:09:00,2025-01-11 5:15:00,G
Prod-00076,A,AST-101,2025-01-11 5:53:00,2025-01-11 8:41:00,B
Prod-00077,A,AST-106,2025-01-11 8:41:00,2025-01-11 10:44:00,G
Prod-00078,A,AST-117,2025-01-11 12:11:00,2025-01-11 14:25:00,G
Prod-00079,A,AST-105,2025-01-11 15:35:00,2025-01-11 16:37:00,G
Prod-00080,A,AST-108,2025-01-11 17:07:00,2025-01-11 19:44:00,G
Prod-00081,A,AST-118,2025-01-11 21:40:00,2025-01-11 23:55:00,G
Prod-00082,A,AST-118,2025-01-12 0:53:00,2025-01-12 3:05:00,G
Prod-00083,A,AST-104,2025-01-12 4:44:00,2025-01-12 6:11:00,G
Prod-00084,A,AST-108,2025-01-12 6:43:00,2025-01-12 8:30:00,G
Prod-00085,A,AST-103,2025-01-12 10:23:00,2025-01-12 11:31:00,G
Prod-00086,A,AST-104,2025-01-12 13:16:00,2025-01-12 15:53:00,G
Prod-00087,A,AST-108,2025-01-12 17:40:00,2025-01-12 19:22:00,G
Prod-00088,A,AST-107,2025-01-12 20:18:00,2025-01-12 21:54:00,G
Prod-00089,A,AST-111,2025-01-12 22:53:00,2025-01-13 0:44:00,G
Prod-00090,A,AST-101,2025-01-13 1:44:00,2025-01-13 2:53:00,G
Prod-00091,A,AST-109,2025-01-13 4:13:00,2025-01-13 6:16:00,G
Prod-00092,A,AST-110,2025-01-13 7:09:00,2025-01-13 8:50:00,G
Prod-00093,A,AST-118,2025-01-13 10:05:00,2025-01-13 12:11:00,G
Prod-00094,A,AST-115,2025-01-13 13:29:00,2025-01-13 14:48:00,G
Prod-00095,A,AST-117,2025-01-13 15:23:00,2025-01-13 17:31:00,G
Prod-00096,A,AST-117,2025-01-13 18:26:00,2025-01-13 19:49:00,G
Prod-00097,A,AST-103,2025-01-13 21:44:00,2025-01-13 22:58:00,G
Prod-00098,A,AST-103,2025-01-13 23:52:00,2025-01-14 2:48:00,G
Prod-00099,A,AST-111,2025-01-14 4:01:00,2025-01-14 5:51:00,B
Prod-00100,A,AST-113,2025-01-14 5:51:00,2025-01-14 7:10:00,G
Prod-00101,A,AST-107,2025-01-14 7:57:00,2025-01-14 10:07:00,G
Prod-00102,A,AST-115,2025-01-14 11:12:00,2025-01-14 14:03:00,G
Prod-00103,A,AST-115,2025-01-14 15:57:00,2025-01-14 18:36:00,G
Prod-00104,A,AST-114,2025-01-14 20:21:00,2025-01-14 22:54:00,G
Prod-00105,A,AST-107,2025-01-15 0:48:00,2025-01-15 3:33:00,G
Prod-00106,A,AST-115,2025-01-15 4:43:00,2025-01-15 6:02:00,G
Prod-00107,A,AST-111,2025-01-15 6:55:00,2025-01-15 9:35:00,G
Prod-00108,A,AST-110,2025-01-15 10:37:00,2025-01-15 13:19:00,G
Prod-00109,A,AST-118,2025-01-15 14:51:00,2025-01-15 17:30:00,G
Prod-00110,A,AST-104,2025-01-15 18:53:00,2025-01-15 20:13:00,G
Prod-00111,A,AST-104,2025-01-15 20:45:00,2025-01-15 23:06:00,G
Prod-00112,A,AST-110,2025-01-16 0:35:00,2025-01-16 2:55:00,G
Prod-00113,A,AST-103,2025-01-16 3:33:00,2025-01-16 6:33:00,G
Prod-00114,A,AST-101,2025-01-16 7:25:00,2025-01-16 9:04:00,G
Prod-00115,A,AST-104,2025-01-16 10:10:00,2025-01-16 13:01:00,G
Prod-00116,A,AST-103,2025-01-16 13:53:00,2025-01-16 15:57:00,G
Prod-00117,A,AST-118,2025-01-16 17:10:00,2025-01-16 19:07:00,G
Prod-00118,A,AST-112,2025-01-16 20:50:00,2025-01-16 22:43:00,G
Prod-00119,A,AST-106,2025-01-17 0:21:00,2025-01-17 2:22:00,G
Prod-00120,A,AST-115,2025-01-17 2:48:00,2025-01-17 4:43:00,G
Prod-00121,A,AST-112,2025-01-17 6:05:00,2025-01-17 7:42:00,G
Prod-00122,A,AST-106,2025-01-17 9:25:00,2025-01-17 10:45:00,B
Prod-00123,A,AST-112,2025-01-17 10:45:00,2025-01-17 11:57:00,G
Prod-00124,A,AST-116,2025-01-17 12:41:00,2025-01-17 14:32:00,G
Prod-00125,A,AST-114,2025-01-17 15:57:00,2025-01-17 18:05:00,G
Prod-00126,A,AST-101,2025-01-17 19:41:00,2025-01-17 22:04:00,G
Prod-00127,A,AST-101,2025-01-17 22:34:00,2025-01-18 0:25:00,G
Prod-00128,A,AST-104,2025-01-18 2:06:00,2025-01-18 4:00:00,G
Prod-00129,A,AST-102,2025-01-18 5:00:00,2025-01-18 7:34:00,B
Prod-00130,A,AST-108,2025-01-18 7:34:00,2025-01-18 8:34:00,G
Prod-00131,A,AST-113,2025-01-18 9:26:00,2025-01-18 11:29:00,G
Prod-00132,A,AST-101,2025-01-18 13:02:00,2025-01-18 14:55:00,G
Prod-00133,A,AST-108,2025-01-18 15:50:00,2025-01-18 18:33:00,G
Prod-00134,A,AST-111,2025-01-18 20:11:00,2025-01-18 22:38:00,G
Prod-00135,A,AST-113,2025-01-18 23:34:00,2025-01-19 0:38:00,G
Prod-00136,A,AST-105,2025-01-19 1:44:00,2025-01-19 3:20:00,G
Prod-00137,A,AST-112,2025-01-19 4:41:00,2025-01-19 6:02:00,G
Prod-00138,A,AST-109,2025-01-19 6:58:00,2025-01-19 9:14:00,G
Prod-00139,A,AST-108,2025-01-19 10:57:00,2025-01-19 12:50:00,G
Prod-00140,A,AST-115,2025-01-19 13:31:00,2025-01-19 15:52:00,G
Prod-00141,A,AST-118,2025-01-19 16:51:00,2025-01-19 18:03:00,G
Prod-00142,A,AST-117,2025-01-19 18:40:00,2025-01-19 19:53:00,G
Prod-00143,A,AST-110,2025-01-19 20:51:00,2025-01-19 23:16:00,G
Prod-00144,A,AST-109,2025-01-20 0:24:00,2025-01-20 2:27:00,G
Prod-00145,A,AST-102,2025-01-20 3:22:00,2025-01-20 4:31:00,G
Prod-00146,A,AST-105,2025-01-20 5:24:00,2025-01-20 6:24:00,G
Prod-00147,A,AST-109,2025-01-20 7:38:00,2025-01-20 9:04:00,G
Prod-00148,A,AST-102,2025-01-20 10:15:00,2025-01-20 13:11:00,G
Prod-00149,A,AST-118,2025-01-20 14:45:00,2025-01-20 17:10:00,G
Prod-00150,A,AST-112,2025-01-20 17:49:00,2025-01-20 18:50:00,G
Prod-00151,A,AST-114,2025-01-20 20:44:00,2025-01-20 22:39:00,G
Prod-00152,A,AST-117,2025-01-20 23:24:00,2025-01-21 1:28:00,G
Prod-00153,A,AST-115,2025-01-21 2:40:00,2025-01-21 5:38:00,G
Prod-00154,A,AST-106,2025-01-21 6:39:00,2025-01-21 8:44:00,G
Prod-00155,A,AST-117,2025-01-21 9:15:00,2025-01-21 11:45:00,G
Prod-00156,A,AST-114,2025-01-21 12:21:00,2025-01-21 13:44:00,G
Prod-00157,A,AST-102,2025-01-21 14:36:00,2025-01-21 16:33:00,G
Prod-00158,A,AST-106,2025-01-21 17:59:00,2025-01-21 20:50:00,G
Prod-00159,A,AST-117,2025-01-21 21:42:00,2025-01-21 22:46:00,G
Prod-00160,A,AST-118,2025-01-22 0:37:00,2025-01-22 2:33:00,G
Prod-00161,A,AST-114,2025-01-22 4:00:00,2025-01-22 5:22:00,G
Prod-00162,A,AST-116,2025-01-22 6:55:00,2025-01-22 7:55:00,G
Prod-00163,A,AST-113,2025-01-22 9:14:00,2025-01-22 12:04:00,B
Prod-00164,A,AST-102,2025-01-22 12:04:00,2025-01-22 13:17:00,G
Prod-00165,A,AST-104,2025-01-22 13:58:00,2025-01-22 15:20:00,G
Prod-00166,A,AST-111,2025-01-22 17:07:00,2025-01-22 18:43:00,G
Prod-00167,A,AST-117,2025-01-22 20:08:00,2025-01-22 22:13:00,G
Prod-00168,A,AST-101,2025-01-22 22:50:00,2025-01-23 1:31:00,G
Prod-00169,A,AST-103,2025-01-23 2:07:00,2025-01-23 3:08:00,G
Prod-00170,A,AST-112,2025-01-23 4:24:00,2025-01-23 5:30:00,G
Prod-00171,A,AST-107,2025-01-23 6:24:00,2025-01-23 7:58:00,G
Prod-00172,A,AST-107,2025-01-23 9:37:00,2025-01-23 10:47:00,G
Prod-00173,A,AST-103,2025-01-23 11:53:00,2025-01-23 13:37:00,G
Prod-00174,A,AST-117,2025-01-23 14:07:00,2025-01-23 16:31:00,G
Prod-00175,A,AST-104,2025-01-23 17:33:00,2025-01-23 20:07:00,G
Prod-00176,A,AST-115,2025-01-23 21:35:00,2025-01-24 0:26:00,G
Prod-00177,A,AST-114,2025-01-24 1:31:00,2025-01-24 4:29:00,G
Prod-00178,A,AST-104,2025-01-24 5:20:00,2025-01-24 6:52:00,G
Prod-00179,A,AST-102,2025-01-24 7:54:00,2025-01-24 10:35:00,G
Prod-00180,A,AST-115,2025-01-24 11:36:00,2025-01-24 13:59:00,G
Prod-00181,A,AST-105,2025-01-24 14:54:00,2025-01-24 16:19:00,G
Prod-00182,A,AST-112,2025-01-24 17:16:00,2025-01-24 19:00:00,G
Prod-00183,A,AST-110,2025-01-24 20:22:00,2025-01-24 21:46:00,G
Prod-00184,A,AST-107,2025-01-24 23:26:00,2025-01-25 2:00:00,B
Prod-00185,A,AST-117,2025-01-25 2:00:00,2025-01-25 3:30:00,G
Prod-00186,A,AST-114,2025-01-25 4:55:00,2025-01-25 7:46:00,G
Prod-00187,A,AST-112,2025-01-25 9:05:00,2025-01-25 12:05:00,G
Prod-00188,A,AST-101,2025-01-25 13:52:00,2025-01-25 16:47:00,G
Prod-00189,A,AST-116,2025-01-25 17:24:00,2025-01-25 18:30:00,G
Prod-00190,A,AST-106,2025-01-25 19:26:00,2025-01-25 22:07:00,G
Prod-00191,A,AST-110,2025-01-25 23:21:00,2025-01-26 2:17:00,B
Prod-00192,A,AST-104,2025-01-26 2:17:00,2025-01-26 4:10:00,G
Prod-00193,A,AST-117,2025-01-26 5:39:00,2025-01-26 6:43:00,G
Prod-00194,A,AST-115,2025-01-26 7:43:00,2025-01-26 10:13:00,G
Prod-00195,A,AST-109,2025-01-26 11:40:00,2025-01-26 13:57:00,G
Prod-00196,A,AST-114,2025-01-26 14:43:00,2025-01-26 17:04:00,B
Prod-00197,A,AST-114,2025-01-26 17:04:00,2025-01-26 19:05:00,G
Prod-00198,A,AST-116,2025-01-26 20:06:00,2025-01-26 22:56:00,G
Prod-00199,A,AST-107,2025-01-27 0:44:00,2025-01-27 2:51:00,G
Prod-00200,A,AST-106,2025-01-27 3:55:00,2025-01-27 6:12:00,B
Prod-00201,A,AST-107,2025-01-27 6:12:00,2025-01-27 7:22:00,G
Prod-00202,A,AST-107,2025-01-27 9:00:00,2025-01-27 10:59:00,G
Prod-00203,A,AST-109,2025-01-27 12:52:00,2025-01-27 15:20:00,G
Prod-00204,A,AST-105,2025-01-27 17:01:00,2025-01-27 19:30:00,G
Prod-00205,A,AST-102,2025-01-27 20:14:00,2025-01-27 21:48:00,G
Prod-00206,A,AST-114,2025-01-27 23:39:00,2025-01-28 1:51:00,G
Prod-00207,A,AST-117,2025-01-28 3:45:00,2025-01-28 5:50:00,G
Prod-00208,A,AST-102,2025-01-28 7:41:00,2025-01-28 10:27:00,G
Prod-00209,A,AST-108,2025-01-28 11:28:00,2025-01-28 12:43:00,G
Prod-00210,A,AST-105,2025-01-28 13:48:00,2025-01-28 16:16:00,G
Prod-00211,A,AST-115,2025-01-28 18:03:00,2025-01-28 20:45:00,G
Prod-00212,A,AST-116,2025-01-28 22:37:00,2025-01-28 23:46:00,G
Prod-00213,A,AST-109,2025-01-29 0:46:00,2025-01-29 2:24:00,G
Prod-00214,A,AST-114,2025-01-29 3:59:00,2025-01-29 6:19:00,G
Prod-00215,A,AST-109,2025-01-29 7:24:00,2025-01-29 10:07:00,B
Prod-00216,A,AST-116,2025-01-29 10:07:00,2025-01-29 11:24:00,G
Prod-00217,A,AST-105,2025-01-29 12:48:00,2025-01-29 15:16:00,G
Prod-00218,A,AST-117,2025-01-29 16:24:00,2025-01-29 18:22:00,G
Prod-00219,A,AST-102,2025-01-29 19:01:00,2025-01-29 20:06:00,G
Prod-00220,A,AST-115,2025-01-29 21:12:00,2025-01-29 23:58:00,G
Prod-00221,A,AST-103,2025-01-30 1:47:00,2025-01-30 4:14:00,G
Prod-00222,A,AST-117,2025-01-30 5:44:00,2025-01-30 6:54:00,G
Prod-00223,A,AST-108,2025-01-30 8:33:00,2025-01-30 9:51:00,G
Prod-00224,A,AST-108,2025-01-30 10:53:00,2025-01-30 13:30:00,G
Prod-00225,A,AST-115,2025-01-30 14:32:00,2025-01-30 15:44:00,G
Prod-00226,A,AST-113,2025-01-30 16:42:00,2025-01-30 18:51:00,G
Prod-00227,A,AST-112,2025-01-30 20:09:00,2025-01-30 22:01:00,G
Prod-00228,A,AST-112,2025-01-30 22:42:00,2025-01-31 1:08:00,G
Prod-00229,A,AST-103,2025-01-31 1:51:00,2025-01-31 4:42:00,G
Prod-00230,A,AST-108,2025-01-31 5:48:00,2025-01-31 7:05:00,G
Prod-00231,A,AST-113,2025-01-31 8:40:00,2025-01-31 10:16:00,G
Prod-00232,A,AST-107,2025-01-31 11:45:00,2025-01-31 14:00:00,G
Prod-00233,A,AST-105,2025-01-31 15:35:00,2025-01-31 16:36:00,G
Prod-00234,A,AST-106,2025-01-31 17:52:00,2025-01-31 19:10:00,B
Prod-00235,A,AST-109,2025-01-31 19:10:00,2025-01-31 20:59:00,G
Prod-00236,A,AST-113,2025-01-31 22:41:00,2025-02-01 0:28:00,G
Prod-00237,A,AST-115,2025-02-01 1:27:00,2025-02-01 3:18:00,G
