제품ID,공정종류,장비ID,공정시작시간,공정종료시간,품질결과
Prod-00001,C,CRL-101,2025-01-01 12:13:00,2025-01-01 12:18:00,G
Prod-00002,C,CRL-105,2025-01-01 15:20:00,2025-01-01 15:27:00,G
Prod-00003,C,CRL-103,2025-01-01 19:55:00,2025-01-01 20:09:00,G
Prod-00004,C,CRL-107,2025-01-01 23:52:00,2025-01-02 0:01:00,R
Prod-00004,C,CRL-101,2025-01-02 0:01:00,2025-01-02 0:11:00,B
Prod-00007,C,CRL-104,2025-01-02 9:56:00,2025-01-02 10:12:00,G
Prod-00008,C,CRL-102,2025-01-02 14:31:00,2025-01-02 14:37:00,B
Prod-00009,C,CRL-106,2025-01-02 16:51:00,2025-01-02 17:00:00,G
Prod-00010,C,CRL-102,2025-01-02 20:04:00,2025-01-02 20:19:00,G
Prod-00011,C,CRL-107,2025-01-02 23:25:00,2025-01-02 23:35:00,B
Prod-00012,C,CRL-101,2025-01-03 1:56:00,2025-01-03 2:08:00,G
Prod-00013,C,CRL-102,2025-01-03 4:56:00,2025-01-03 5:13:00,G
Prod-00015,C,CRL-107,2025-01-03 8:03:00,2025-01-03 8:10:00,G
Prod-00016,C,CRL-103,2025-01-03 11:24:00,2025-01-03 11:43:00,G
Prod-00017,C,CRL-106,2025-01-03 13:50:00,2025-01-03 13:55:00,G
Prod-00018,C,CRL-104,2025-01-03 17:05:00,2025-01-03 17:22:00,G
Prod-00019,C,CRL-103,2025-01-03 19:49:00,2025-01-03 19:55:00,G
Prod-00020,C,CRL-106,2025-01-03 22:15:00,2025-01-03 22:34:00,G
Prod-00021,C,CRL-105,2025-01-04 1:21:00,2025-01-04 1:31:00,G
Prod-00022,C,CRL-101,2025-01-04 3:22:00,2025-01-04 3:40:00,G
Prod-00024,C,CRL-107,2025-01-04 9:35:00,2025-01-04 9:40:00,G
Prod-00025,C,CRL-104,2025-01-04 13:01:00,2025-01-04 13:06:00,G
Prod-00026,C,CRL-102,2025-01-04 16:22:00,2025-01-04 16:42:00,G
Prod-00027,C,CRL-107,2025-01-04 19:54:00,2025-01-04 20:07:00,G
Prod-00028,C,CRL-107,2025-01-04 22:20:00,2025-01-04 22:37:00,G
Prod-00029,C,CRL-104,2025-01-05 2:50:00,2025-01-05 2:59:00,G
Prod-00030,C,CRL-101,2025-01-05 5:42:00,2025-01-05 5:51:00,G
Prod-00031,C,CRL-106,2025-01-05 10:14:00,2025-01-05 10:19:00,G
Prod-00032,C,CRL-101,2025-01-05 13:20:00,2025-01-05 13:38:00,G
Prod-00033,C,CRL-104,2025-01-05 17:02:00,2025-01-05 17:20:00,G
Prod-00034,C,CRL-106,2025-01-05 19:37:00,2025-01-05 19:52:00,G
Prod-00035,C,CRL-107,2025-01-06 0:22:00,2025-01-06 0:42:00,G
Prod-00036,C,CRL-106,2025-01-06 3:42:00,2025-01-06 3:55:00,G
Prod-00037,C,CRL-105,2025-01-06 7:04:00,2025-01-06 7:20:00,G
Prod-00038,C,CRL-105,2025-01-06 11:19:00,2025-01-06 11:33:00,R
Prod-00038,C,CRL-103,2025-01-06 11:33:00,2025-01-06 11:50:00,G
Prod-00039,C,CRL-105,2025-01-06 14:56:00,2025-01-06 15:11:00,G
Prod-00040,C,CRL-106,2025-01-06 17:59:00,2025-01-06 18:13:00,G
Prod-00041,C,CRL-101,2025-01-06 20:32:00,2025-01-06 20:52:00,G
Prod-00042,C,CRL-105,2025-01-07 0:00:00,2025-01-07 0:18:00,G
Prod-00043,C,CRL-103,2025-01-07 2:53:00,2025-01-07 3:11:00,G
Prod-00044,C,CRL-103,2025-01-07 5:56:00,2025-01-07 6:15:00,G
Prod-00045,C,CRL-103,2025-01-07 10:34:00,2025-01-07 10:45:00,G
Prod-00046,C,CRL-102,2025-01-07 12:59:00,2025-01-07 13:05:00,G
Prod-00047,C,CRL-105,2025-01-07 14:55:00,2025-01-07 15:00:00,G
Prod-00048,C,CRL-102,2025-01-07 17:47:00,2025-01-07 18:06:00,G
Prod-00049,C,CRL-107,2025-01-07 21:07:00,2025-01-07 21:19:00,G
Prod-00050,C,CRL-103,2025-01-08 0:22:00,2025-01-08 0:31:00,G
Prod-00051,C,CRL-103,2025-01-08 3:04:00,2025-01-08 3:12:00,G
Prod-00052,C,CRL-102,2025-01-08 5:28:00,2025-01-08 5:41:00,G
Prod-00053,C,CRL-103,2025-01-08 9:13:00,2025-01-08 9:28:00,G
Prod-00054,C,CRL-102,2025-01-08 12:34:00,2025-01-08 12:50:00,R
Prod-00054,C,CRL-105,2025-01-08 12:50:00,2025-01-08 12:59:00,G
Prod-00055,C,CRL-102,2025-01-08 16:57:00,2025-01-08 17:12:00,G
Prod-00056,C,CRL-105,2025-01-08 20:39:00,2025-01-08 20:54:00,G
Prod-00057,C,CRL-102,2025-01-08 23:36:00,2025-01-08 23:56:00,R
Prod-00057,C,CRL-105,2025-01-08 23:56:00,2025-01-09 0:02:00,G
Prod-00059,C,CRL-106,2025-01-09 4:36:00,2025-01-09 4:52:00,G
Prod-00060,C,CRL-103,2025-01-09 7:27:00,2025-01-09 7:35:00,G
Prod-00061,C,CRL-102,2025-01-09 10:13:00,2025-01-09 10:22:00,G
Prod-00063,C,CRL-101,2025-01-09 15:45:00,2025-01-09 15:56:00,G
Prod-00064,C,CRL-107,2025-01-09 19:05:00,2025-01-09 19:10:00,G
Prod-00065,C,CRL-103,2025-01-09 21:16:00,2025-01-09 21:32:00,G
Prod-00066,C,CRL-107,2025-01-10 0:29:00,2025-01-10 0:45:00,G
Prod-00069,C,CRL-104,2025-01-10 10:04:00,2025-01-10 10:18:00,G
Prod-00070,C,CRL-106,2025-01-10 13:32:00,2025-01-10 13:41:00,G
Prod-00071,C,CRL-105,2025-01-10 15:46:00,2025-01-10 16:00:00,G
Prod-00072,C,CRL-105,2025-01-10 19:56:00,2025-01-10 20:01:00,G
Prod-00073,C,CRL-106,2025-01-10 23:01:00,2025-01-10 23:16:00,G
Prod-00074,C,CRL-106,2025-01-11 3:01:00,2025-01-11 3:09:00,G
Prod-00075,C,CRL-105,2025-01-11 5:42:00,2025-01-11 5:53:00,G
Prod-00077,C,CRL-106,2025-01-11 12:05:00,2025-01-11 12:11:00,G
Prod-00078,C,CRL-104,2025-01-11 15:24:00,2025-01-11 15:35:00,G
Prod-00079,C,CRL-103,2025-01-11 16:59:00,2025-01-11 17:07:00,G
Prod-00080,C,CRL-103,2025-01-11 21:12:00,2025-01-11 21:26:00,R
Prod-00080,C,CRL-102,2025-01-11 21:26:00,2025-01-11 21:40:00,B
Prod-00081,C,CRL-103,2025-01-12 0:34:00,2025-01-12 0:53:00,G
Prod-00082,C,CRL-103,2025-01-12 4:29:00,2025-01-12 4:44:00,G
Prod-00083,C,CRL-106,2025-01-12 6:38:00,2025-01-12 6:43:00,G
Prod-00084,C,CRL-107,2025-01-12 10:03:00,2025-01-12 10:23:00,G
Prod-00085,C,CRL-103,2025-01-12 13:07:00,2025-01-12 13:16:00,G
Prod-00086,C,CRL-105,2025-01-12 17:27:00,2025-01-12 17:40:00,G
Prod-00087,C,CRL-101,2025-01-12 20:06:00,2025-01-12 20:18:00,G
Prod-00088,C,CRL-107,2025-01-12 22:36:00,2025-01-12 22:53:00,G
Prod-00089,C,CRL-101,2025-01-13 1:35:00,2025-01-13 1:44:00,G
Prod-00090,C,CRL-101,2025-01-13 3:55:00,2025-01-13 4:13:00,G
Prod-00091,C,CRL-103,2025-01-13 6:51:00,2025-01-13 7:09:00,G
Prod-00092,C,CRL-105,2025-01-13 9:55:00,2025-01-13 10:05:00,G
Prod-00094,C,CRL-102,2025-01-13 15:18:00,2025-01-13 15:23:00,G
Prod-00095,C,CRL-106,2025-01-13 18:10:00,2025-01-13 18:26:00,G
